"commit","id","name","node_id","serialVersionUID","tarball_url","zipball_url"
"Commit [sha=b9e5c3e19c78954aa0d79512738c0f83cb8f8d21, url=https://api.github.com/repos/WordPress/WordPress/commits/b9e5c3e19c78954aa0d79512738c0f83cb8f8d21]","60de4821d827e516288d50d2","3.3.2","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy4zLjI=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.3.2","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.3.2"
"Commit [sha=a2c1d37633029164732584948f55c236e228bae8, url=https://api.github.com/repos/WordPress/WordPress/commits/a2c1d37633029164732584948f55c236e228bae8]","60de46821778ce403de10421","4.1.3","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC4xLjM=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.1.3","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.1.3"
"Commit [sha=641b0fea4e35a51ffbcc7ceab5780f0fd2e372fe, url=https://api.github.com/repos/WordPress/WordPress/commits/641b0fea4e35a51ffbcc7ceab5780f0fd2e372fe]","60de44d7d7d62a2031d11a3b","4.1.30","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC4xLjMw","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.1.30","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.1.30"
"Commit [sha=d02baee0bb876f1e4abb1ad6359cee3ab8fc026e, url=https://api.github.com/repos/WordPress/WordPress/commits/d02baee0bb876f1e4abb1ad6359cee3ab8fc026e]","60de44d7d7d62a2031d11bdf","4.0.13","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC4wLjEz","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.0.13","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.0.13"
"Commit [sha=4199d0caf22d210b120dd395ea0ef64b2012d964, url=https://api.github.com/repos/WordPress/WordPress/commits/4199d0caf22d210b120dd395ea0ef64b2012d964]","60de46821778ce403de103ce","3.5","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy41","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.5","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.5"
"Commit [sha=74332c0d42752c8026d785f881e77249713a898b, url=https://api.github.com/repos/WordPress/WordPress/commits/74332c0d42752c8026d785f881e77249713a898b]","60de4570f41b58030f40ba6b","4.4.11","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC40LjEx","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.4.11","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.4.11"
"Commit [sha=69585afec4dc1ae19430aa7dece623d488de6747, url=https://api.github.com/repos/WordPress/WordPress/commits/69585afec4dc1ae19430aa7dece623d488de6747]","60de46831778ce403de10479","3.7.29","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy43LjI5","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.7.29","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.7.29"
"Commit [sha=7dd10230645d32a28310362106829f9eb6df5346, url=https://api.github.com/repos/WordPress/WordPress/commits/7dd10230645d32a28310362106829f9eb6df5346]","60de44d7d7d62a2031d11bb1","3.7.14","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy43LjE0","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.7.14","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.7.14"
"Commit [sha=537fd931bc02e6e934a2d774422b897871aa87ad, url=https://api.github.com/repos/WordPress/WordPress/commits/537fd931bc02e6e934a2d774422b897871aa87ad]","60de44d7d7d62a2031d11b73","5.5","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNS41","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/5.5","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/5.5"
"Commit [sha=c0a6889f0930583d8cdc783b97b453d1f0236ffa, url=https://api.github.com/repos/WordPress/WordPress/commits/c0a6889f0930583d8cdc783b97b453d1f0236ffa]","60de470c1778ce403de10650","4.1.15","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC4xLjE1","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.1.15","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.1.15"
